artist_name,e.country,e.country_3,num_exhibitions
Shynho Ikegami,NL,NLD,4
Shyoyen Uyémura,NL,NLD,1
Shyutô Tabata,NL,NLD,1
Shōnan Mizukoshi,NL,NLD,1
Sibyl Meugens,FR,FRA,22
Sidney Herbert Smith,GB,GBR,6
Sidney Mawson,GB,GBR,5
Sidonie Springer,AT,AUT,6
Sidonie Springer,CZ,CZE,8
Sidonie Springer,DE,DEU,4
Siebe Johannes ten Cate,DE,DEU,5
Siebe Johannes ten Cate,FR,FRA,9
Siebe Johannes ten Cate,IT,ITA,2
Sieger Baukema,NL,NLD,5
Siegfried Berndt,DE,DEU,3
Siegfried Mackowsky,DE,DEU,8
Siegfried von Leth,DE,DEU,2
Sigfrid Ullman,SE,SWE,24
Sigge-Olof Bergstrom,CZ,CZE,2
Sigge-Olof Bergstrom,FR,FRA,20
Sigisbert Chrétien Bosch Reitz,NL,NLD,4
Sigismond Jean Ernest Jeanes,DE,DEU,2
Sigismond Jean Ernest Jeanes,FR,FRA,16
Sigismondo Lipinsky,IT,ITA,7
Sigismondo Meyer,IT,ITA,3
Sigismund Righini,CH,CHE,1
