artist_name,e.country,e.country_3,num_exhibitions
Robert Clauston Young,CZ,CZE,2
Robert Deborne,FR,FRA,28
Robert Delaunay,BE,BEL,10
Robert Delaunay,CH,CHE,8
Robert Delaunay,CZ,CZE,12
Robert Delaunay,DE,DEU,58
Robert Delaunay,FR,FRA,49
Robert Delaunay,GB,GBR,2
Robert Delaunay,HU,HUN,19
Robert Delaunay,JP,JPN,1
Robert Delaunay,RU,RUS,3
Robert Delaunay,US,USA,6
Robert Douglas Wells,GB,GBR,13
Robert Dupont,FR,FRA,42
Robert Eckert,AT,AUT,25
Robert Eckert,DE,DEU,2
Robert Elliot,GB,GBR,6
Robert Engels,AT,AUT,1
Robert Engels,DE,DEU,19
Robert Fa'lk,RU,RUS,112
Robert Fa'lk,UA,UKR,15
Robert Fellowes Chisholm,GB,GBR,14
Robert Fink,AT,AUT,6
Robert Fink,DE,DEU,3
Robert Fowler,GB,GBR,12
Robert Fowler,IT,ITA,4
Robert Friedrich Karl Scholtz,DE,DEU,12
Robert Gemmell Hutchison,IT,ITA,4
Robert Gemmell Hutchison,US,USA,1
Robert Genin,DE,DEU,24
Robert Genin,NL,NLD,6
Robert Graham Dryden Alexander,GB,GBR,7
Robert Graham Dryden Alexander,US,USA,1
Robert Gregory,GB,GBR,6
Robert Gwelo Goodman,GB,GBR,10
Robert Gwelo Goodman,IT,ITA,2
Robert Hatton Monks,BE,BEL,28
Robert Henri,FR,FRA,2
Robert Henri,IT,ITA,2
Robert Henri,US,USA,30
Robert Hermann Sterl,AT,AUT,30
Robert Hermann Sterl,DE,DEU,157
Robert Hermann Sterl,GB,GBR,1
Robert Hermann Sterl,HU,HUN,8
Robert Hermann Sterl,NL,NLD,1
Robert Hoffmann,CH,CHE,1
Robert Hoffmann,DE,DEU,21
Robert Hofmann,AT,AUT,4
Robert Houpels,BE,BEL,24
Robert Hugh Buxton,IT,ITA,2
Robert Ives Browne,DE,DEU,3
Robert Ives Browne,NL,NLD,12
Robert James,GB,GBR,4
Robert James Enraght-Moony,GB,GBR,22
Robert James Enraght-Moony,US,USA,1
Robert Knoebel,CZ,CZE,27
Robert Knoebel,IT,ITA,2
Robert Koehler,US,USA,1
Robert Lee MacCameron,US,USA,3
Robert Lefèvre,BE,BEL,2
Robert Lefèvre,RU,RUS,4
Robert Lemonnier,FR,FRA,8
Robert Levrac-Tournières,DE,DEU,1
Robert Levrac-Tournières,FR,FRA,1
Robert Little,CZ,CZE,4
Robert Little,GB,GBR,2
Robert Little,IT,ITA,2
Robert Loewe,DE,DEU,4
Robert Lotiron,BE,BEL,3
Robert Lotiron,DE,DEU,1
Robert Lotiron,FR,FRA,4
Robert Ludwig Richter,DE,DEU,15
Robert Ludwig Richter,GB,GBR,1
Robert Ludwig Richter,IT,ITA,2
Robert Lénárd,DE,DEU,14
Robert Lénárd,HU,HUN,4
Robert Lénárd,NL,NLD,2
Robert Macaulay Stevenson,IT,ITA,6
Robert Macaulay Stevenson,US,USA,1
Robert McGown Coventry,DE,DEU,2
Robert McGown Coventry,IT,ITA,8
Robert McGown Coventry,NL,NLD,1
Robert McGregor,BE,BEL,2
Robert Mortier,FR,FRA,16
Robert Nadler,HU,HUN,186
Robert Nadler,IT,ITA,14
Robert Nadler,NL,NLD,2
Robert Obtresal,AT,AUT,8
Robert Oerley,AT,AUT,2
Robert Picard,BE,BEL,26
Robert Picard,FR,FRA,1
Robert Poetzelberger,DE,DEU,6
Robert Poetzelberger,GB,GBR,1
Robert Polhill Bevan,GB,GBR,122
Robert Raph,BE,BEL,1
Robert Reid,DE,DEU,3
Robert Reid,US,USA,5
Robert Ruß,GB,GBR,1
Robert Schiff,GB,GBR,1
Robert Schiff,IT,ITA,2
Robert Schleich,GB,GBR,3
Robert Schreyer,AT,AUT,4
Robert Schultze,DE,DEU,3
Robert Seuffert,DE,DEU,4
Robert Spencer,US,USA,9
Robert Storm Petersen,DE,DEU,2
Robert Storm Petersen,JP,JPN,2
Robert Thegerström,SE,SWE,12
Robert Thorne Waite,IT,ITA,2
Robert Van Vorst Sewell,US,USA,1
Robert Walker Macbeth,US,USA,1
Robert Walters,GB,GBR,6
Robert Weir Allan,CZ,CZE,2
Robert Weir Allan,HU,HUN,2
Robert Weir Allan,IT,ITA,12
Robert Weir Allan,US,USA,10
Robert Weise,AT,AUT,22
Robert Weise,DE,DEU,22
Robert Wellmann,DE,DEU,3
Robert Wellmann,HU,HUN,50
Robert Wellmann,IT,ITA,6
Robert William Vonnoh,US,USA,8
Robert Winthrop Chanler,US,USA,16
Robert von Bach,AT,AUT,4
Robert von Haug,DE,DEU,80
Robert von Haug,IT,ITA,2
Roberto Bompiani,IT,ITA,1
Roberto Borsa,IT,ITA,6
Roberto Domingo Fallola,GB,GBR,1
Roberto Ferruzzi,IT,ITA,2
Roberto Fontana,IT,ITA,2
Roberto Melli,IT,ITA,4
Roberto Pazzini,IT,ITA,1
Robin Christian Andersen,AT,AUT,30
Robin Christian Andersen,HU,HUN,10
Rocco Lentini,IT,ITA,4
Roddice Pennethorne,GB,GBR,6
Roderic O'Conor,BE,BEL,8
Roderic O'Conor,FR,FRA,20
Roderic O'Conor,GB,GBR,10
